Xilinx,XQ6VSX315T-1FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX550T-1RF1759I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX240T-2RF1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX240T-2FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX240T-1RF1156M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX240T-1FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX130T-L1FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX130T-2FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6VLX130T-1FFG1156I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX75T-3CSG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX75T-2FGG676I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX75T-2FG484Q,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX75T-2FG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX75-L1FG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150T-DIE0628,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150T-3CS484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150T-2FG676Q,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150T-2FG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150T-2CS484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150-L1CSG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ6SLX150-2CSG484I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VSX95T-2EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VSX95T-1EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VSX50T-2EF665I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VSX50T-1EF665I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VSX240T-1FF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX85-2EF676I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX85-1EF676I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX330T-1EF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX30T-2FF323I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX30T-1FF323I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX155T-1EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110T-2EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110T-1EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110-2EF676I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110-2EF1153I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110-1EF676I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VLX110-1EF1153I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX70T-2EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX70T-1EF665I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX70T-1EF1136M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX200T-1FF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX130T-DIE4058,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX130T-2EF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX130T-1EF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX100T-2EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX100T-1EF1738I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX100T-1EF1136M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ5VFX100T-1EF1136I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VSX55-10FF1148M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX80-11FF1148I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX60-10FF668M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX40-10FF668M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX40-10FF668I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX25-10SF363M,3000,1,,10,,100,,1000,,10000,
Intel,XQ4VLX25-10FF668M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX25-10FF668M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX160-10FF1148I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX100-11FF1148I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VLX100-10FF1148I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VFX60-10FFG1152I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VFX60-10EF672M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VFX60-10EF672I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4VFX100-10FF1152I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4013E-4PG223M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ4010E-4PG191M,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ2VP70-6EF1704I,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ2VP70-5FF1704N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ2VP40-5FG676N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ2VP40-5FF1152N,3000,1,,10,,100,,1000,,10000,
Xilinx,XQ17V16VQ44N,3000,1,,10,,100,,1000,,10000,
Torex Semiconductor Ltd,XP152A12C0MR,3000,1,,10,,100,,1000,,10000,
VBsemi Elec,XP152A12C0MR,3000,1,0.0918,10,0.0918,100,0.0699,1000,0.0619,10000,0.0592
Torex Semiconductor Ltd,XP151A13A0MR,3000,1,0.1731,10,0.1281,100,0.1115,1000,0.106,10000,0.106
Infineon Technologies,XMC4800F144K2048AAXQMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC4800F100K2048AAXQMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC4500F144F1024ACXQMA1,3000,1,,10,,100,,1000,,10000,
Infineon Technologies,XMC4300F100F256AAXQMA1,3000,1,,10,,100,,1000,,10000,
